날짜,월,요일,지점,강수량(mm)
2016-08-20,8,토,159,0
2016-08-21,8,일,159,0
2016-08-22,8,월,159,0
2016-08-23,8,화,159,0.9
2016-08-24,8,수,159,0
2016-08-25,8,목,159,0
2016-08-26,8,금,159,0
2016-08-27,8,토,159,1.7
2016-08-28,8,일,159,57.6
2016-08-29,8,월,159,0.2
2016-08-30,8,화,159,0
2016-08-31,8,수,159,0
2016-09-01,9,목,159,0
2016-09-02,9,금,159,118
2016-09-03,9,토,159,38.4
2016-09-04,9,일,159,0.1
2016-09-05,9,월,159,0
2016-09-06,9,화,159,0
2016-09-07,9,수,159,0
2016-09-08,9,목,159,1.3
2016-09-09,9,금,159,0
2016-09-10,9,토,159,0
2016-09-11,9,일,159,0
2016-09-12,9,월,159,24.7
2016-09-13,9,화,159,0
2016-09-14,9,수,159,0
2016-09-15,9,목,159,0
2016-09-16,9,금,159,0
2016-09-17,9,토,159,119.4
2016-09-18,9,일,159,7.8
2016-09-19,9,월,159,0
2016-09-20,9,화,159,0
2016-09-21,9,수,159,0
2016-09-22,9,목,159,0.2
2016-09-23,9,금,159,0
2016-09-24,9,토,159,0
2016-09-25,9,일,159,0
2016-09-26,9,월,159,0
2016-09-27,9,화,159,3.7
2016-09-28,9,수,159,61.8
2016-09-29,9,목,159,2.3
2016-09-30,9,금,159,30.2
2016-10-01,10,토,159,1.4
2016-10-02,10,일,159,0
2016-10-03,10,월,159,0
2016-10-04,10,화,159,0.1
2016-10-05,10,수,159,95
2016-10-06,10,목,159,0
2016-10-07,10,금,159,0.2
2016-10-08,10,토,159,39.3
2016-10-09,10,일,159,0
2016-10-10,10,월,159,0
2016-10-11,10,화,159,0
2016-10-12,10,수,159,0
2016-10-13,10,목,159,0
2016-10-14,10,금,159,0
2016-10-15,10,토,159,0
2016-10-16,10,일,159,38.7
2016-10-17,10,월,159,0.1
2016-10-18,10,화,159,0
2016-10-19,10,수,159,0
2016-10-20,10,목,159,0
2016-10-21,10,금,159,0
2016-10-22,10,토,159,0
2016-10-23,10,일,159,0
2016-10-24,10,월,159,0
2016-10-25,10,화,159,1.8
2016-10-26,10,수,159,0
2016-10-27,10,목,159,0
2016-10-28,10,금,159,5.8
2016-10-29,10,토,159,0
2016-10-30,10,일,159,0
2016-10-31,10,월,159,0
2016-11-01,11,화,159,0
2016-11-02,11,수,159,0
2016-11-03,11,목,159,0
2016-11-04,11,금,159,0
2016-11-05,11,토,159,0
2016-11-06,11,일,159,0.3
2016-11-07,11,월,159,0.1
2016-11-08,11,화,159,0.7
2016-11-09,11,수,159,0
2016-11-10,11,목,159,6.7
2016-11-11,11,금,159,0
2016-11-12,11,토,159,0
2016-11-13,11,일,159,0.2
2016-11-14,11,월,159,7.6
2016-11-15,11,화,159,0
2016-11-16,11,수,159,0
2016-11-17,11,목,159,0
2016-11-18,11,금,159,29.1
2016-11-19,11,토,159,0.7
2016-11-20,11,일,159,0
2016-11-21,11,월,159,0
2016-11-22,11,화,159,0
2016-11-23,11,수,159,0
2016-11-24,11,목,159,0
2016-11-25,11,금,159,0
2016-11-26,11,토,159,1.5
2016-11-27,11,일,159,0.3
2016-11-28,11,월,159,0
2016-11-29,11,화,159,0
2016-11-30,11,수,159,9.4
2016-12-01,12,목,159,0
2016-12-02,12,금,159,0
2016-12-03,12,토,159,0
2016-12-04,12,일,159,0
2016-12-05,12,월,159,0
2016-12-06,12,화,159,0
2016-12-07,12,수,159,0
2016-12-08,12,목,159,0
2016-12-09,12,금,159,0
2016-12-10,12,토,159,0
2016-12-11,12,일,159,0
2016-12-12,12,월,159,0
2016-12-13,12,화,159,0
2016-12-14,12,수,159,0
2016-12-15,12,목,159,0
2016-12-16,12,금,159,0
2016-12-17,12,토,159,0
2016-12-18,12,일,159,0
2016-12-19,12,월,159,17.1
2016-12-20,12,화,159,1.1
2016-12-21,12,수,159,21.2
2016-12-22,12,목,159,39.6
2016-12-23,12,금,159,0
2016-12-24,12,토,159,0
2016-12-25,12,일,159,0
2016-12-26,12,월,159,22.2
2016-12-27,12,화,159,2.6
2016-12-28,12,수,159,0
2016-12-29,12,목,159,0
2016-12-30,12,금,159,0
2016-12-31,12,토,159,0
